Frame,Gaze_X,Gaze_Y,Fixation,Side
735,-0.0506,-0.0344,False,Center
736,-0.0632,-0.044,False,Center
737,-0.0777,-0.0316,False,Center
738,-0.0701,-0.0319,False,Center
739,-0.0652,-0.0307,False,Center
740,-0.0716,-0.0433,False,Center
741,-0.0716,-0.0443,False,Center
742,-0.0785,-0.0479,False,Center
743,-0.0612,-0.0418,False,Center
744,-0.0667,-0.0429,False,Center
745,-0.055,-0.0577,False,Center
746,-0.0621,-0.0407,False,Center
747,-0.0793,-0.052,False,Center
748,-0.0948,-0.041,False,Center
749,-0.0945,-0.0472,False,Center
750,-0.0882,-0.0476,False,Center
751,-0.0907,-0.0498,False,Center
752,-0.0942,-0.0648,False,Center
753,-0.0625,-0.0455,False,Center
754,-0.0717,-0.0543,False,Center
755,-0.0492,-0.0538,True,Center
756,-0.0533,-0.0429,False,Center
757,-0.0588,-0.0391,False,Center
758,-0.0643,-0.0411,False,Center
759,-0.074,-0.0433,False,Center
760,-0.0767,-0.0441,False,Center
761,-0.1116,-0.0526,False,Center
762,-0.1235,-0.0212,False,Center
763,-0.1035,-0.0544,False,Center
764,-0.0917,-0.0467,False,Center
765,-0.1008,-0.0471,False,Center
766,-0.0818,-0.0546,False,Center
767,-0.1029,-0.0542,False,Center
768,-0.0931,-0.0481,False,Center
769,-0.1257,-0.0418,False,Center
770,-0.1144,-0.0429,False,Center
771,-0.0992,-0.0486,False,Center
772,-0.0919,-0.0544,False,Center
773,-0.0803,-0.0536,False,Center
774,-0.0985,-0.0454,False,Center
775,-0.1082,-0.0508,False,Center
776,-0.1018,-0.0569,False,Center
777,-0.1065,-0.0515,False,Center
778,-0.0976,-0.0451,False,Center
779,-0.1174,-0.0494,False,Center
780,-0.0833,-0.0567,False,Center
781,-0.1175,-0.0455,False,Center
782,-0.0818,-0.0495,False,Center
783,-0.085,-0.0653,False,Center
784,-0.081,-0.057,False,Center
785,-0.0939,-0.0581,False,Center
786,-0.0883,-0.048,False,Center
787,-0.0892,-0.0543,False,Center
788,-0.0929,-0.0534,False,Center
789,-0.0757,-0.029,False,Center
790,-0.0956,-0.0638,False,Center
791,-0.0774,-0.0636,False,Center
792,-0.0917,-0.0578,False,Center
793,-0.0964,-0.0383,False,Center
794,-0.067,-0.0508,False,Center
795,-0.0977,-0.0509,False,Center
796,-0.0949,-0.048,False,Center
797,-0.0922,-0.0482,False,Center
798,-0.0884,-0.0393,False,Center
799,-0.0981,-0.0571,False,Center
800,-0.1181,-0.0539,False,Center
801,-0.0822,-0.0224,False,Center
802,-0.1024,-0.0483,False,Center
803,-0.0831,-0.0533,False,Center
804,-0.0905,-0.025,False,Center
805,-0.0956,-0.017,False,Center
806,-0.0706,-0.0192,False,Center
807,-0.0738,-0.0404,False,Center
808,-0.0696,-0.013,False,Center
809,-0.066,-0.0341,False,Center
810,-0.0822,-0.0418,False,Center
811,-0.0734,-0.0425,False,Center
812,-0.0827,-0.0539,False,Center
813,-0.0772,-0.0565,False,Center
814,-0.0637,-0.0382,False,Center
815,-0.061,-0.0377,False,Center
816,-0.0732,-0.0383,False,Center
817,-0.0204,-0.0074,True,Center
818,-0.0004,-0.0141,True,Center
819,-0.0416,-0.0266,True,Center
820,-0.0773,-0.0366,False,Center
821,-0.0737,-0.0276,False,Center
822,-0.0405,-0.0307,True,Center
823,-0.0268,-0.0439,True,Center
839,-0.1632,0.0617,False,Center
840,-0.012,-0.0074,True,Center
841,-0.0418,-0.0419,True,Center
842,-0.0487,-0.0294,True,Center
843,-0.0462,-0.0432,True,Center
844,-0.0762,-0.0274,False,Center
845,-0.0635,-0.038,False,Center
846,-0.0797,-0.029,False,Center
847,-0.0709,-0.0411,False,Center
848,-0.0616,-0.0142,False,Center
849,-0.0778,-0.0361,False,Center
850,-0.0782,-0.0434,False,Center
851,-0.0791,-0.0394,False,Center
852,-0.0674,-0.0381,False,Center
853,-0.0647,-0.0229,False,Center
854,-0.0734,-0.015,False,Center
855,-0.0605,-0.0046,False,Center
856,-0.153,-0.0421,False,Center
857,-0.1503,-0.0414,False,Center
858,-0.1388,-0.0507,False,Center
859,-0.1692,-0.0488,False,Center
860,-0.1451,-0.039,False,Center
861,-0.1113,-0.0171,False,Center
862,-0.0601,-0.0169,False,Center
863,-0.0509,-0.0526,False,Center
864,-0.0232,-0.0595,True,Center
865,-0.1698,-0.0118,False,Center
879,-0.0142,-0.0359,True,Center
880,-0.0158,-0.0203,True,Center
881,0.0,-0.0482,True,Center
902,-0.0598,-0.0453,False,Center
903,-0.0288,-0.0661,True,Center
904,-0.0323,-0.055,True,Center
905,-0.0717,-0.0306,False,Center
906,-0.0562,-0.0313,False,Center
907,-0.0551,-0.0361,False,Center
908,-0.0711,-0.0448,False,Center
909,-0.0414,-0.0576,True,Center
910,-0.0213,-0.0616,True,Center
911,-0.0519,-0.0521,False,Center
944,-0.0491,-0.0766,True,Center
945,-0.0284,-0.0866,True,Center
946,-0.0328,-0.0771,True,Center
947,-0.0293,-0.0796,True,Center
948,-0.0316,-0.0668,True,Center
949,-0.0739,-0.055,False,Center
950,-0.0651,-0.0603,False,Center
951,-0.0591,-0.0722,False,Center
952,-0.0195,-0.0845,True,Center
953,-0.0226,-0.0736,True,Center
954,-0.0244,-0.0708,True,Center
1008,-0.0327,-0.0843,True,Center
1009,-0.026,-0.0843,True,Center
1010,-0.0302,-0.0907,True,Center
1011,-0.0666,-0.0722,False,Center
1012,-0.0827,-0.065,False,Center
1013,-0.0641,-0.0557,False,Center
1014,-0.0702,-0.0631,False,Center
1015,-0.0703,-0.0397,False,Center
1016,-0.073,-0.0408,False,Center
1017,-0.0584,-0.0284,False,Center
1018,-0.0145,-0.0346,True,Center
1019,-0.0241,0.0162,True,Center
1020,-0.0521,-0.0243,False,Center
1021,-0.0308,-0.0466,True,Center
1022,-0.0261,-0.0555,True,Center
1023,-0.0298,-0.0088,True,Center
1024,-0.01,-0.0234,True,Center
1025,-0.0437,-0.0037,True,Center
1026,-0.0638,-0.0057,False,Center
1027,-0.0614,-0.0036,False,Center
1028,-0.0629,-0.0015,False,Center
1029,-0.0576,0.0003,False,Center
1030,-0.0504,-0.0249,False,Center
1031,-0.056,-0.024,False,Center
1032,-0.041,-0.0221,True,Center
1033,-0.0564,-0.014,False,Center
1034,-0.0555,-0.022,False,Center
1035,-0.0503,-0.0163,False,Center
1036,-0.0428,0.0333,True,Center
1037,-0.0401,-0.0182,True,Center
1038,-0.0549,-0.0242,False,Center
1039,-0.064,-0.0184,False,Center
1040,-0.0423,-0.0304,True,Center
1041,-0.0514,-0.0227,False,Center
1042,-0.0746,-0.0169,False,Center
1043,-0.0586,-0.0421,False,Center
1044,-0.0519,-0.0419,False,Center
1045,-0.0683,-0.032,False,Center
1046,-0.0771,-0.0281,False,Center
1047,-0.0782,-0.0295,False,Center
1048,-0.0538,-0.017,False,Center
1049,-0.0687,-0.0162,False,Center
1050,-0.0502,-0.0369,False,Center
1051,-0.0304,-0.0445,True,Center
1052,-0.0348,-0.0293,True,Center
1053,-0.0583,-0.0249,False,Center
1054,-0.0354,-0.0386,True,Center
1055,-0.029,-0.0343,True,Center
1056,-0.0184,-0.0281,True,Center
1057,-0.0233,-0.0449,True,Center
1058,-0.0291,-0.0409,True,Center
1059,-0.016,-0.0501,True,Center
1060,-0.0131,-0.0412,True,Center
1061,-0.0336,-0.0434,True,Center
1062,-0.0391,-0.0459,True,Center
1063,-0.0178,-0.0397,True,Center
1064,-0.0068,0.0673,True,Center
1065,-0.0398,-0.0364,True,Center
1066,-0.0577,-0.0349,False,Center
1067,-0.0566,-0.0441,False,Center
1068,-0.0547,-0.0282,False,Center
1069,-0.0447,-0.031,True,Center
1070,-0.0255,-0.0201,True,Center
1071,-0.0074,-0.0209,True,Center
1072,-0.0197,-0.0134,True,Center
1073,-0.0205,-0.015,True,Center
1074,-0.0206,-0.0202,True,Center
1075,-0.0324,-0.0222,True,Center
1076,-0.0329,-0.034,True,Center
1077,-0.0323,-0.0367,True,Center
1078,-0.0272,-0.0273,True,Center
1079,-0.0316,-0.0333,True,Center
1080,-0.0361,-0.0266,True,Center
1081,-0.0184,-0.0298,True,Center
1082,-0.0202,-0.0395,True,Center
1083,-0.0397,-0.0313,True,Center
1084,-0.0184,-0.0405,True,Center
1085,-0.0361,-0.0292,True,Center
1086,-0.0453,-0.0219,True,Center
1087,-0.037,-0.0444,True,Center
1088,-0.0271,-0.0182,True,Center
1089,-0.0341,-0.0365,True,Center
1090,-0.0407,-0.044,True,Center
1091,-0.0262,-0.0417,True,Center
1092,-0.031,-0.033,True,Center
1093,-0.0381,-0.0323,True,Center
1094,-0.0444,-0.0429,True,Center
1095,-0.0351,-0.035,True,Center
1096,-0.04,0.0676,True,Center
1097,-0.0497,-0.0127,True,Center
1098,-0.0625,-0.0203,False,Center
1099,-0.0713,-0.0117,False,Center
1100,-0.1037,-0.0213,False,Center
1101,-0.0583,-0.0309,False,Center
1102,-0.0888,0.0241,False,Center
1103,-0.0649,-0.0449,False,Center
1104,-0.0257,-0.0795,True,Center
1105,-0.0315,-0.092,True,Center
1106,-0.0591,-0.1301,False,Center
1107,0.0067,-0.0945,True,Center
1108,-0.0114,-0.0733,True,Center
1109,-0.0576,-0.0789,False,Center
1110,-0.0667,-0.0739,False,Center
1111,-0.063,-0.0622,False,Center
1112,-0.0588,-0.0603,False,Center
1113,0.0984,-0.0025,False,Center
1114,0.0988,0.0027,False,Center
1115,-0.0216,-0.0891,True,Center
1116,-0.0447,-0.0522,True,Center
1117,-0.1386,-0.0365,False,Center
1118,-0.1144,0.0207,False,Center
1119,-0.1227,-0.0119,False,Center
1120,-0.0701,-0.0693,False,Center
1121,-0.0576,-0.0751,False,Center
1122,-0.0649,-0.0763,False,Center
1123,-0.0857,-0.0637,False,Center
1124,-0.0876,-0.0674,False,Center
1125,-0.0877,-0.0522,False,Center
1126,-0.052,-0.0113,False,Center
1127,0.0391,-0.0136,True,Center
1128,-0.1666,0.0262,False,Center
1129,-0.0895,-0.0469,False,Center
1130,-0.0871,-0.0656,False,Center
1131,-0.0666,-0.0734,False,Center
1132,-0.0497,-0.0748,True,Center
1133,0.0107,-0.0913,True,Center
1134,-0.0032,-0.0723,True,Center
1135,-0.0168,-0.077,True,Center
1136,-0.0157,-0.0778,True,Center
1137,-0.0249,-0.0648,True,Center
1138,-0.0574,-0.0957,False,Center
1139,-0.0575,-0.0659,False,Center
1140,-0.0486,-0.0623,True,Center
1141,-0.056,-0.0888,False,Center
1142,-0.0455,-0.0896,True,Center
1143,-0.0249,-0.0839,True,Center
